 ,Area,Mean,Min,Max
1,443,0,0,0
2,290,0,0,0
3,361,0,0,0
4,466,0,0,0
5,306,0,0,0
6,273,0,0,0
7,296,0,0,0
8,273,0,0,0
9,330,0,0,0
10,293,0,0,0
11,343,0,0,0
12,259,0,0,0
13,292,0,0,0
14,287,0,0,0
15,349,0,0,0
16,390,0,0,0
17,340,0,0,0
18,320,0,0,0
19,343,0,0,0
20,298,0,0,0
21,363,0,0,0
22,267,0,0,0
23,376,0,0,0
24,488,0,0,0
25,355,0,0,0
26,433,0,0,0
27,303,0,0,0
28,347,0,0,0
29,352,0,0,0
30,487,0,0,0
31,295,0,0,0
32,294,0,0,0
33,333,0,0,0
34,259,0,0,0
35,278,0,0,0
36,308,0,0,0
37,347,0,0,0
38,356,0,0,0
39,351,0,0,0
40,341,0,0,0
41,221,0,0,0
42,299,0,0,0
43,461,0,0,0
44,494,0,0,0
45,354,0,0,0
46,291,0,0,0
47,356,0,0,0
48,409,0,0,0
49,296,0,0,0
50,275,0,0,0
51,354,0,0,0
52,375,0,0,0
53,356,0,0,0
54,421,0,0,0
55,399,0,0,0
56,454,0,0,0
57,335,0,0,0
58,321,0,0,0
59,403,0,0,0
60,236,0,0,0
61,342,0,0,0
62,325,0,0,0
63,385,0,0,0
64,307,0,0,0
65,288,0,0,0
66,346,0,0,0
67,477,0,0,0
68,357,0,0,0
69,284,0,0,0
70,241,0,0,0
71,436,0,0,0
72,340,0,0,0
73,314,0,0,0
74,334,0,0,0
75,356,0,0,0
76,302,0,0,0
77,425,0,0,0
78,259,0,0,0
79,372,0,0,0
80,421,0,0,0
81,472,0,0,0
82,256,0,0,0
83,204,0,0,0
84,377,0,0,0
85,277,0,0,0
86,337,0,0,0
87,241,0,0,0
88,316,0,0,0
89,316,0,0,0
90,472,0,0,0
91,354,0,0,0
92,389,0,0,0
93,191,0,0,0
94,375,0,0,0
95,334,0,0,0
96,280,0,0,0
97,437,0,0,0
98,358,0,0,0
99,391,0,0,0
100,273,0,0,0
101,318,0,0,0
102,462,0,0,0
103,400,0,0,0
104,409,0,0,0
105,381,0,0,0
106,360,0,0,0
107,244,0,0,0
108,387,0,0,0
109,318,0,0,0
110,410,0,0,0
111,357,0,0,0
112,237,0,0,0
113,253,0,0,0
114,260,0,0,0
115,403,0,0,0
116,337,0,0,0
117,376,0,0,0
118,268,0,0,0
119,429,0,0,0
120,329,0,0,0
121,365,0,0,0
122,460,0,0,0
123,240,0,0,0
124,476,0,0,0
125,353,0,0,0
126,259,0,0,0
127,392,0,0,0
128,347,0,0,0
129,348,0,0,0
130,280,0,0,0
131,321,0,0,0
132,181,0,0,0
133,428,0,0,0
134,159,0,0,0
135,220,0,0,0
136,259,0,0,0
137,277,0,0,0
138,378,0,0,0
139,278,0,0,0
140,387,0,0,0
141,276,0,0,0
142,336,0,0,0
143,263,0,0,0
144,274,0,0,0
145,449,0,0,0
146,386,0,0,0
147,429,0,0,0
148,438,0,0,0
149,478,0,0,0
150,319,0,0,0
151,386,0,0,0
152,408,0,0,0
153,321,0,0,0
154,222,0,0,0
155,323,0,0,0
156,299,0,0,0
157,423,0,0,0
158,406,0,0,0
159,278,0,0,0
160,320,0,0,0
161,400,0,0,0
162,491,0,0,0
163,281,0,0,0
164,315,0,0,0
165,370,0,0,0
166,386,0,0,0
167,390,0,0,0
168,404,0,0,0
169,331,0,0,0
170,369,0,0,0
171,271,0,0,0
172,339,0,0,0
173,249,0,0,0
174,376,0,0,0
175,368,0,0,0
176,325,0,0,0
177,259,0,0,0
178,387,0,0,0
179,213,0,0,0
180,319,0,0,0
181,371,0,0,0
182,355,0,0,0
183,409,0,0,0
184,384,0,0,0
185,381,0,0,0
186,422,0,0,0
187,484,0,0,0
188,367,0,0,0
189,356,0,0,0
190,443,0,0,0
191,226,0,0,0
192,398,0,0,0
193,375,0,0,0
194,264,0,0,0
195,307,0,0,0
196,466,0,0,0
197,419,0,0,0
198,361,0,0,0
199,361,0,0,0
200,254,0,0,0
201,288,0,0,0
202,344,0,0,0
203,234,0,0,0
204,330,0,0,0
205,346,0,0,0
206,320,0,0,0
207,485,0,0,0
208,241,0,0,0
209,383,0,0,0
210,334,0,0,0
211,446,0,0,0
212,252,0,0,0
213,375,0,0,0
214,410,0,0,0
215,349,0,0,0
216,322,0,0,0
217,395,0,0,0
218,364,0,0,0
219,295,0,0,0
220,347,0,0,0
221,241,0,0,0
222,265,0,0,0
223,296,0,0,0
224,324,0,0,0
225,437,0,0,0
226,263,0,0,0
227,253,0,0,0
228,338,0,0,0
229,242,0,0,0
230,428,0,0,0
231,240,0,0,0
232,480,0,0,0
233,418,0,0,0
234,211,0,0,0
235,279,0,0,0
236,248,0,0,0
237,287,0,0,0
238,360,0,0,0
239,345,0,0,0
240,388,0,0,0
241,343,0,0,0
242,260,0,0,0
243,272,0,0,0
244,372,0,0,0
245,369,0,0,0
246,393,0,0,0
247,283,0,0,0
248,443,0,0,0
249,242,0,0,0
250,440,0,0,0
251,234,0,0,0
252,380,0,0,0
253,332,0,0,0
254,222,0,0,0
255,441,0,0,0
256,319,0,0,0
257,354,0,0,0
258,281,0,0,0
259,219,0,0,0
260,237,0,0,0
261,245,0,0,0
262,254,0,0,0
263,257,0,0,0
264,253,0,0,0
265,385,0,0,0
266,250,0,0,0
267,269,0,0,0
268,246,0,0,0
269,387,0,0,0
270,270,0,0,0
271,350,0,0,0
272,231,0,0,0
273,428,0,0,0
274,227,0,0,0
275,275,0,0,0
276,481,0,0,0
277,345,0,0,0
278,236,0,0,0
279,470,0,0,0
280,253,0,0,0
281,263,0,0,0
282,281,0,0,0
283,298,0,0,0
284,391,0,0,0
285,329,0,0,0
286,397,0,0,0
287,341,0,0,0
288,225,0,0,0
289,223,0,0,0
290,327,0,0,0
291,282,0,0,0
292,381,0,0,0
293,337,0,0,0
294,233,0,0,0
295,326,0,0,0
296,300,0,0,0
297,298,0,0,0
298,272,0,0,0
299,253,0,0,0
300,356,0,0,0
301,226,0,0,0
302,311,0,0,0
303,327,0,0,0
304,344,0,0,0
305,315,0,0,0
306,440,0,0,0
307,307,0,0,0
308,306,0,0,0
309,319,0,0,0
310,151,0,0,0
311,246,0,0,0
312,248,0,0,0
313,398,0,0,0
314,492,0,0,0
315,279,0,0,0
316,311,0,0,0
317,296,0,0,0
318,263,0,0,0
319,162,0,0,0
320,308,0,0,0
321,359,0,0,0
322,259,0,0,0
323,480,0,0,0
324,310,0,0,0
325,279,0,0,0
326,362,0,0,0
327,458,0,0,0
328,353,0,0,0
329,279,0,0,0
330,318,0,0,0
331,308,0,0,0
332,299,0,0,0
333,314,0,0,0
334,297,0,0,0
335,286,0,0,0
336,292,0,0,0
337,295,0,0,0
338,275,0,0,0
339,369,0,0,0
340,365,0,0,0
341,393,0,0,0
342,264,0,0,0
343,357,0,0,0
344,321,0,0,0
345,295,0,0,0
346,455,0,0,0
347,273,0,0,0
348,294,0,0,0
349,297,0,0,0
350,292,0,0,0
351,270,0,0,0
352,323,0,0,0
353,309,0,0,0
354,256,0,0,0
355,283,0,0,0
356,295,0,0,0
357,403,0,0,0
358,323,0,0,0
359,265,0,0,0
360,320,0,0,0
361,318,0,0,0
362,203,0,0,0
363,289,0,0,0
364,298,0,0,0
365,361,0,0,0
366,309,0,0,0
367,292,0,0,0
368,416,0,0,0
369,435,0,0,0
370,282,0,0,0
371,460,0,0,0
372,309,0,0,0
373,205,0,0,0
374,298,0,0,0
375,299,0,0,0
376,280,0,0,0
377,279,0,0,0
378,281,0,0,0
379,260,0,0,0
380,274,0,0,0
381,244,0,0,0
382,317,0,0,0
383,355,0,0,0
384,303,0,0,0
385,288,0,0,0
386,327,0,0,0
387,386,0,0,0
388,285,0,0,0
389,389,0,0,0
390,362,0,0,0
391,475,0,0,0
392,293,0,0,0
393,290,0,0,0
394,340,0,0,0
395,278,0,0,0
396,304,0,0,0
397,358,0,0,0
398,334,0,0,0
399,469,0,0,0
400,280,0,0,0
401,322,0,0,0
402,369,0,0,0
403,266,0,0,0
404,285,0,0,0
405,276,0,0,0
406,298,0,0,0
407,284,0,0,0
408,305,0,0,0
409,298,0,0,0
410,403,0,0,0
411,249,0,0,0
412,275,0,0,0
413,332,0,0,0
414,364,0,0,0
415,264,0,0,0
416,281,0,0,0
417,260,0,0,0
418,294,0,0,0
419,275,0,0,0
420,164,0,0,0
421,310,0,0,0
422,302,0,0,0
423,302,0,0,0
424,256,0,0,0
425,333,0,0,0
426,161,0,0,0
427,308,0,0,0
428,306,0,0,0
429,328,0,0,0
430,368,0,0,0
431,262,0,0,0
432,320,0,0,0
433,271,0,0,0
434,301,0,0,0
435,327,0,0,0
436,319,0,0,0
437,279,0,0,0
438,167,0,0,0
439,386,0,0,0
440,309,0,0,0
441,433,0,0,0
442,345,0,0,0
443,438,0,0,0
444,268,0,0,0
445,354,0,0,0
446,427,0,0,0
447,306,0,0,0
448,272,0,0,0
449,285,0,0,0
450,280,0,0,0
451,303,0,0,0
452,300,0,0,0
453,302,0,0,0
454,297,0,0,0
455,346,0,0,0
456,303,0,0,0
457,407,0,0,0
458,296,0,0,0
459,424,0,0,0
460,393,0,0,0
461,314,0,0,0
462,288,0,0,0
463,456,0,0,0
464,281,0,0,0
465,257,0,0,0
466,336,0,0,0
467,327,0,0,0
468,379,0,0,0
469,328,0,0,0
470,220,0,0,0
471,253,0,0,0
472,261,0,0,0
473,306,0,0,0
474,425,0,0,0
475,306,0,0,0
476,368,0,0,0
477,322,0,0,0
478,302,0,0,0
479,424,0,0,0
480,485,0,0,0
481,319,0,0,0
482,274,0,0,0
483,345,0,0,0
484,290,0,0,0
485,212,0,0,0
486,268,0,0,0
487,296,0,0,0
488,280,0,0,0
489,179,0,0,0
490,325,0,0,0
491,269,0,0,0
492,299,0,0,0
493,271,0,0,0
494,369,0,0,0
495,309,0,0,0
496,462,0,0,0
497,381,0,0,0
498,230,0,0,0
499,425,0,0,0
500,358,0,0,0
501,408,0,0,0
502,294,0,0,0
503,238,0,0,0
504,381,0,0,0
505,490,0,0,0
506,248,0,0,0
507,276,0,0,0
508,265,0,0,0
509,488,0,0,0
510,252,0,0,0
511,305,0,0,0
512,285,0,0,0
513,324,0,0,0
514,312,0,0,0
515,453,0,0,0
516,414,0,0,0
517,267,0,0,0
518,305,0,0,0
519,272,0,0,0
520,255,0,0,0
521,266,0,0,0
522,280,0,0,0
523,280,0,0,0
524,303,0,0,0
525,273,0,0,0
526,277,0,0,0
527,252,0,0,0
528,269,0,0,0
529,315,0,0,0
530,264,0,0,0
531,442,0,0,0
532,404,0,0,0
533,363,0,0,0
534,230,0,0,0
535,283,0,0,0
536,305,0,0,0
537,483,0,0,0
538,236,0,0,0
539,278,0,0,0
540,271,0,0,0
541,357,0,0,0
542,283,0,0,0
543,277,0,0,0
544,289,0,0,0
545,348,0,0,0
546,408,0,0,0
547,285,0,0,0
548,262,0,0,0
549,368,0,0,0
550,300,0,0,0
551,276,0,0,0
552,282,0,0,0
553,255,0,0,0
554,252,0,0,0
555,387,0,0,0
556,295,0,0,0
557,250,0,0,0
558,285,0,0,0
559,273,0,0,0
560,296,0,0,0
561,297,0,0,0
562,299,0,0,0
563,266,0,0,0
564,352,0,0,0
565,303,0,0,0
566,280,0,0,0
567,265,0,0,0
568,498,0,0,0
569,252,0,0,0
570,247,0,0,0
571,299,0,0,0
572,419,0,0,0
573,226,0,0,0
574,416,0,0,0
575,440,0,0,0
576,274,0,0,0
577,298,0,0,0
578,480,0,0,0
579,478,0,0,0
580,302,0,0,0
581,285,0,0,0
582,498,0,0,0
583,277,0,0,0
584,289,0,0,0
585,266,0,0,0
586,299,0,0,0
587,440,0,0,0
588,346,0,0,0
589,382,0,0,0
590,386,0,0,0
591,305,0,0,0
592,280,0,0,0
593,271,0,0,0
594,300,0,0,0
595,445,0,0,0
596,272,0,0,0
597,181,0,0,0
598,263,0,0,0
599,264,0,0,0
600,481,0,0,0
601,417,0,0,0
602,280,0,0,0
603,252,0,0,0
604,267,0,0,0
605,252,0,0,0
606,158,0,0,0
607,320,0,0,0
608,425,0,0,0
609,309,0,0,0
610,286,0,0,0
611,336,0,0,0
612,487,0,0,0
613,232,0,0,0
614,271,0,0,0
615,301,0,0,0
616,413,0,0,0
617,319,0,0,0
618,315,0,0,0
619,196,0,0,0
620,266,0,0,0
621,319,0,0,0
622,316,0,0,0
623,354,0,0,0
624,273,0,0,0
625,388,0,0,0
626,298,0,0,0
627,419,0,0,0
628,224,0,0,0
629,367,0,0,0
630,266,0,0,0
631,290,0,0,0
632,278,0,0,0
633,325,0,0,0
634,270,0,0,0
635,283,0,0,0
636,404,0,0,0
637,289,0,0,0
638,363,0,0,0
639,319,0,0,0
640,273,0,0,0
641,442,0,0,0
642,312,0,0,0
643,272,0,0,0
644,299,0,0,0
645,236,0,0,0
646,466,0,0,0
647,496,0,0,0
648,301,0,0,0
649,272,0,0,0
650,500,0,0,0
651,277,0,0,0
652,368,0,0,0
653,364,0,0,0
654,283,0,0,0
655,297,0,0,0
656,362,0,0,0
657,261,0,0,0
658,276,0,0,0
659,280,0,0,0
660,419,0,0,0
661,269,0,0,0
662,275,0,0,0
663,433,0,0,0
664,493,0,0,0
665,276,0,0,0
666,294,0,0,0
667,282,0,0,0
668,305,0,0,0
669,392,0,0,0
670,216,0,0,0
671,317,0,0,0
672,469,0,0,0
673,426,0,0,0
674,185,0,0,0
675,356,0,0,0
676,151,0,0,0
677,248,0,0,0
678,447,0,0,0
679,285,0,0,0
680,303,0,0,0
681,304,0,0,0
682,423,0,0,0
683,347,0,0,0
684,275,0,0,0
685,318,0,0,0
686,335,0,0,0
687,375,0,0,0
688,325,0,0,0
689,303,0,0,0
690,430,0,0,0
691,372,0,0,0
692,376,0,0,0
693,430,0,0,0
694,433,0,0,0
695,320,0,0,0
696,321,0,0,0
697,370,0,0,0
698,155,0,0,0
699,415,0,0,0
700,329,0,0,0
701,309,0,0,0
702,430,0,0,0
703,303,0,0,0
704,347,0,0,0
705,281,0,0,0
706,248,0,0,0
707,429,0,0,0
708,365,0,0,0
709,317,0,0,0
710,291,0,0,0
711,289,0,0,0
712,276,0,0,0
713,316,0,0,0
714,319,0,0,0
715,318,0,0,0
716,417,0,0,0
717,300,0,0,0
718,306,0,0,0
719,324,0,0,0
720,490,0,0,0
721,318,0,0,0
722,458,0,0,0
723,319,0,0,0
724,296,0,0,0
725,242,0,0,0
